ID,LAT,LONG,Elevation,pH,EC(dSm-1),OC(gkg-1),CaCO3(gkg-1),S(mgkg-1),Zn(mgkg-1),Cu(mgkg-1),Fe(mgkg-1),Mn(mgkg-1),B(mgkg-1)
131,23.932,79.20766667,372.5,7.85,0.3,4.96,80,58.65,0.5,0.82,4.6,8.52,2.62
132,23.93144444,79.20697222,372.3,7.76,0.45,3.91,125,24.64,0.26,0.82,6.9,6.18,5
133,23.94163889,79.20975,377,7.89,0.14,4.05,45,9.93,0.74,0.72,5.38,5.2,2.42
134,23.94097222,79.20897222,376.6,7.87,0.19,4.93,35,23.27,0.36,0.64,6.28,8.66,3.44
135,23.94877778,79.21213889,382.9,7.69,0.17,3.49,45,10.17,0.38,0.96,9.36,3.92,2.76
136,23.72933333,79.21325,387.4,7.45,0.14,4.53,30,14.87,0.36,1.1,4.9,2.6,3.25
137,23.88772222,79.25475,360.9,7.93,0.14,3.71,45,3.25,0.38,1.56,5.1,4.08,1.51
138,23.88780556,79.25505556,360.4,7.78,0.15,4.65,30,10.42,0.78,2.74,6.42,5.14,1.57
139,23.87908333,79.27983333,362.2,8.09,0.1,5.62,40,5.43,0.66,1.16,9.24,7.56,7.33
140,23.87638889,79.29802778,363.5,7.72,0.1,3.44,70,7.19,0.52,1.02,6.5,7.54,2.6
141,23.87327778,79.32166667,365.5,7.48,0.12,4.05,50,14.12,0.58,1.2,7.18,4.88,2.53
142,23.87222222,79.32652778,370.6,7.67,0.12,3.66,35,26.03,0.64,0.98,8.06,6.24,4.6
143,23.86433333,79.35875,358.5,8.05,0.1,4.21,45,23.68,0.66,1.38,11.18,5.6,2.53
144,23.85244444,79.40458333,356.3,7.45,0.11,4.7,20,22.73,0.98,2.66,26.36,17.38,4.49
145,23.84986111,79.41194444,358.9,7.74,0.11,4,20,20.98,0.72,1.34,9.24,5.1,3.34
146,23.84997222,79.41222222,359,7.48,0.1,4.89,65,19.91,0.9,2.42,19.78,9.48,1.59
147,23.86647222,79.44961111,372.6,7.56,0.1,4.16,40,24.92,0.8,2.44,17.5,13.34,3.39
148,23.87236111,79.45083333,376,7.87,0.12,3.87,35,13.37,0.46,1.1,5.6,3.98,1.74
149,23.87708333,79.45280556,371.2,8.07,0.11,5.42,40,12.62,0.54,1.68,9.92,5.48,1.82
150,23.87669444,79.45280556,371.9,8.27,0.14,5.84,35,20.58,1.16,1.38,9.2,5.94,8.72
151,23.89141667,79.45669444,366.5,8.12,0.14,3.73,50,12,0.6,1.04,8.1,3.28,3.53
152,23.89725,79.45330556,364.1,8.09,0.13,3.62,40,10.54,0.5,0.8,4.78,3.88,3.44
153,23.91083333,79.45786111,360,7.72,0.18,5.49,35,11.88,0.54,1.54,10.02,5.14,1.82
154,23.92544444,79.46269444,353,8.09,0.14,4.81,70,5.55,0.86,1.6,14.3,4.84,2.76
155,23.93755556,79.47097222,351,8.19,0.17,5.1,50,3.93,1.58,1.74,12.1,4.1,1.87
156,23.95513889,79.48338889,348.5,7.89,0.17,5.57,55,12.5,0.54,1.72,10.5,3.14,2.92
157,23.97788889,79.4995,341.7,8,0.15,4,65,6.83,0.52,1.16,6.16,3.66,2.29
158,24.00216667,79.51408333,341.4,8.27,0.17,5.01,50,8.97,0.48,0.9,4.52,2.6,1.67
159,24.00244444,79.51408333,341.3,8.14,0.13,3.8,55,6.13,0.32,0.94,6,4.44,1.84
160,24.00580556,79.53469444,348.2,7.62,0.13,6.14,30,2.23,0.52,1.02,6.22,2.98,3.34
161,24.03675,79.53508333,347.4,8.18,0.11,3.93,55,7.07,1.74,0.98,6.28,5.88,1.84
162,24.05080556,79.54416667,357.2,8.23,0.1,3.25,45,6.48,0.38,1.02,5.9,5.6,1.72
163,24.05963889,79.55025,351.4,8.06,0.12,3.89,70,9.09,0.44,0.84,5.64,3.16,1.82
164,24.01013889,79.55025,349.8,8.17,0.09,3.73,45,9.81,0.54,0.72,7.68,3.6,3.08
165,24.09783333,79.57825,341.2,8.08,0.95,3.58,55,9.09,0.7,0.66,6.4,2.92,1.46
166,24.10722222,79.58580556,335.8,7.16,0.1,4.12,40,9.33,0.6,1.02,20.4,12.88,3.12
167,24.00538889,79.62944444,335.6,8.28,0.13,4.53,15,10.17,0.46,0.74,7.4,4.66,1.67
168,24.15622222,79.63008333,334.7,8.1,0.12,3.29,105,10.54,0.46,0.78,7.98,3.7,3.39
169,24.01275,79.64013889,330.5,7.98,0.11,5.22,30,10.42,0.56,0.96,12.58,4.72,1.31
170,24.16927778,79.65552778,338,8.05,0.12,3.33,50,7.78,0.5,0.68,8.6,4.3,2.42
171,24.17088889,79.65647222,337.3,8.12,0.12,4.58,35,14.37,0.58,0.94,11.34,5.36,1.14
172,24.17488889,79.66522222,339,7.72,0.12,4.02,15,12.37,0.5,0.94,14.54,8.68,1.28
173,24.17522222,79.66547222,339,7.9,0.12,5.52,20,10.17,0.72,1.4,19.84,6.24,0.56
174,24.18405556,79.67919444,335,8.11,0.12,5.34,50,5.66,0.46,0.68,8.18,3.46,0.44
175,24.19080556,79.69288889,337.7,8.24,0.15,4.49,15,16.53,0.56,0.68,11.28,3.78,1.64
176,24.19802778,79.70413889,339.1,8.32,0.13,6.61,15,9.81,0.62,1,18.12,8.6,3.53
177,24.20769444,79.72297222,341,8.26,0.13,4.32,55,13.62,0.48,0.62,9.66,5.76,0.59
178,24.20825,79.72297222,340.2,8.1,0.26,4.07,30,11.02,0.52,1.28,13.84,5.56,3.04
179,24.22075,79.746,330.5,8.04,0.12,5.84,15,11.39,0.52,1.8,29.44,13.58,5.14
180,24.22102778,79.74661111,329.6,7.04,0.09,4.18,30,7.66,0.46,0.9,11.88,4.42,1.59
181,24.23613889,79.80275,323.1,7.68,0.1,5.37,10,31.04,0.9,1.22,36.86,9.34,5.76
182,24.23683333,79.81286111,318.7,7.46,0.08,6.14,40,31.77,0.54,1.12,16.54,9.3,1.22
183,24.23988889,79.81636111,315.8,7.62,0.08,5.32,45,30.16,0.6,1.3,15.22,4.68,4.28
184,24.23691667,79.83275,311.7,7.94,0.09,6.9,10,32.66,1.18,1.38,28.42,12.26,1.5
185,24.22352778,79.76833333,329.1,7.55,0.09,4.14,20,29.73,0.42,0.6,21.82,12.38,1.08
186,24.22233333,79.76961111,328.6,6.68,0.06,5.39,40,25.2,0.52,1.46,42.56,33.94,0.84
187,24.23577778,79.76488889,322.1,6.45,0.09,6.4,35,23.27,0.26,0.8,8.72,3.24,0.31
188,24.23936111,79.76458333,320.6,7.69,0.05,7.91,40,8.85,0.34,0.9,7.68,3.96,3.64
189,24.20877778,79.72916667,335.8,8.04,0.12,5.77,50,9.09,0.38,0.9,10.54,2.92,1.74
190,24.16161111,79.63613889,331.2,8.35,0.1,5.05,65,4.62,1.12,1.18,12.32,5.78,4.41
191,24.18277778,79.64455556,329.1,8.05,0.15,4.32,35,6.48,0.24,0.44,4.78,5.1,2.36
192,24.18941667,79.64552778,326.6,7.61,0.49,5.27,15,6.25,0.22,0.8,8.18,2.76,2.09
193,24.21408333,79.64894444,321,7.98,0.23,7.5,35,2.23,0.38,1.02,7.84,2.48,1.03
194,24.21408333,79.64894444,321,7.76,0.1,6.51,50,37.2,2.06,1.06,9.88,2.8,3.48
195,24.24902778,79.66002778,319.1,7.43,0.13,6.51,55,23,0.28,1.08,9.58,2.44,2.36
196,24.26169444,79.65577778,324,7.82,0.1,5.2,50,24.37,0.34,0.72,6.16,5.26,7.55
197,24.24975,79.65297222,310.2,8.07,0.13,8.14,35,26.31,0.46,1.24,5.52,5.06,1.79
198,24.24608333,79.64091667,323.9,8.14,0.1,4.89,55,25.06,0.32,0.98,15.7,3.88,2.17
199,24.23952778,79.62825,327.3,7.2,0.28,4.46,50,18.86,0.72,0.72,8.56,4.8,5.33
200,24.23952778,79.62825,327.3,7.76,0.92,5.62,60,22.32,0.52,0.66,7.54,5.1,2.06
201,24.21963889,79.60369444,327.9,7.72,0.53,2.54,55,16.53,0.84,1.06,14,4.6,2.17
202,24.20733333,79.57516667,334.4,7.66,0.26,3.09,35,37.98,0.58,1.78,18.36,7.6,2.66
203,24.19802778,79.53925,342.5,8.18,0.12,4.09,35,32.21,1.92,1.4,14.96,18.6,3.64
204,23.85041667,79.46911111,376.8,7.75,0.11,3.75,65,25.2,0.94,1.2,14.22,7.12,2.42
205,23.85897222,79.49555556,363.9,8.02,0.1,5.32,75,21.24,0.98,1.44,17.6,6.04,2.59
206,23.86086111,79.50047222,362.1,7.72,0.07,4.42,50,23.68,1.18,1.4,9.06,3.9,8.72
207,23.86797222,79.51769444,354.3,8.11,0.09,2.77,40,25.2,0.54,0.88,9.3,3.48,3
208,23.8745,79.529,357.4,8.17,0.09,2.92,45,21.65,0.72,1.26,18.72,10.14,5.54
209,23.86002778,79.529,352.2,7.43,0.06,2.31,40,28.86,0.64,1.02,10.6,6.3,2.29
210,23.87916667,79.53541667,354.5,8.04,0.08,2.48,50,21.11,0.52,0.58,11.16,4.06,2.29
211,23.89177778,79.55777778,361.4,8.28,0.07,5.54,55,42.92,1.22,1.56,16.62,6.04,2.42
212,23.93188889,79.58358333,348.3,7.48,0.12,4.98,40,7.42,1.24,1.2,10.2,4,1.44
213,23.92777778,79.59019444,349,8.2,0.12,3.6,50,10.17,0.58,0.74,9.26,5.54,3.85
214,23.92833333,79.59083333,349,8.05,0.11,3.4,45,7.19,1.46,0.96,11.1,4.24,4.03
215,23.92980556,79.59247222,348.8,7.86,0.09,3.27,50,7.3,0.72,1.6,28.24,11.58,1.31
216,23.92980556,79.5925,348.7,6.9,0.06,4.35,15,1.67,1,2.56,25.44,11.14,4.28
217,23.95175,79.61780556,344,7.7,0.09,2.58,40,3.59,0.58,1,15.88,5.2,2.14
218,23.98097222,79.6485,335.8,7.57,0.24,2.25,65,11.64,0.48,0.78,9.28,5.88,4.71
219,23.99102778,79.67072222,335.3,7.86,0.13,2.5,40,1.45,0.28,0.78,10.84,2.5,2.2
220,24.00627778,79.67858333,327.8,7.55,0.08,2.15,70,9.09,0.5,0.86,9.94,4.34,2.62
221,24.00338889,79.66291667,328.9,7.95,0.1,1.66,55,40.18,0.7,1.1,12.3,5.22,1.97
222,24.01838889,79.66125,334.7,8.2,0.09,1.7,75,17.17,0.56,0.82,9.5,5.64,1.84
223,24.00513889,79.63977778,331.4,8.22,0.09,3.03,70,25.61,0.56,0.74,7.7,4.7,1.69
224,24.01344444,79.64322222,333.9,8.24,0.11,1.92,15,12.5,0.5,1.2,8.66,3.08,5.14
225,24.01372222,79.64352778,333.5,7.95,0.09,2.94,50,14.87,0.62,1.16,13.06,7.24,2.36
226,24.01880556,79.64511111,328.2,7.76,0.1,5.13,45,45.22,0.68,0.88,10.58,5.76,4.96
227,24.01988889,79.63816667,324.8,8.09,0.15,3.58,45,37.67,1.52,0.9,8.68,5.76,3.3
228,24.01313889,79.64119444,330.2,7.79,0.11,5.15,35,20.31,0.94,1.74,14.72,8.44,3.58
229,23.86422222,79.57255556,357.1,8.07,0.27,4.32,50,35.97,2.88,1.96,11.82,8.58,4.71
230,23.85952778,79.57247222,354.9,6.78,0.09,5.05,55,13.87,0.34,4.94,31.12,28.3,4.21
231,23.85988889,79.57097222,354.8,7.07,0.08,5.03,40,13.49,1.22,3.42,64.82,30.46,1.74
232,23.81275,79.56638889,348.3,7.2,0.05,3.2,15,10.29,1.82,1.46,76.8,19.34,8.72
233,23.79466667,79.55213889,344.5,5.82,0.07,4.39,25,4.97,0.84,2.9,75.42,75.94,2.45
234,23.77961111,79.55283611,344.3,6.1,0.04,3.18,25,15.51,0.86,2.76,66.86,71.38,5.88
235,23.77961111,79.553,344.7,6.09,0.08,1.56,30,6.83,0.8,3.5,72.82,79,3
236,23.77355556,79.56652778,350.7,5.35,0.04,2.44,25,19.91,0.54,0.6,72.82,33.76,3.44
237,23.77208333,79.57413889,340.9,5.15,0.12,3.78,30,6.01,0.64,0.72,67.42,31.4,2.59
238,23.76483333,79.58355556,336.9,7.93,0.14,2.6,50,42.43,1.04,2.28,26.9,8.98,4.49
239,23.73988889,79.56213889,338.6,7.45,0.42,3.53,65,20.05,0.82,2.22,35.16,22.66,2.06
240,23.72713889,79.55966667,333.9,8.02,0.12,2.21,25,15,0.7,0.96,9.82,10.96,3.3
241,23.69780556,79.54694444,339.8,7.56,0.12,3.22,70,10.42,0.96,3.56,36.68,15.72,2.17
242,23.66513889,79.61344444,367.7,7.2,0.08,3.29,45,38.92,1.54,3.32,68.86,21.76,2.96
243,23.65430556,79.61341667,347,6.72,0.08,2.79,45,26.31,1.24,2.28,70.92,42.24,5.76
244,23.61572222,79.63755556,347.5,7.85,0.14,2.75,105,27.16,1.42,2.1,24.36,6.84,5.14
245,23.61519444,79.64169444,347.8,7.91,0.18,3.78,80,26.03,0.64,1.6,24.1,5.86,2.69
246,23.57380556,79.66316667,360.2,6.62,0.11,2.92,50,21.65,1.08,2.14,36.64,34.36,2.48
247,23.57325,79.66255556,361,6.77,0.1,2.27,35,13.12,1.06,1.72,34.46,27.34,4.79
248,23.56677778,79.66858333,356.5,6.74,0.13,1.92,65,15.51,0.44,0.96,15.2,11.54,1.37
249,23.56869444,79.67197222,355,8.15,0.14,3.78,45,27.44,0.66,1.04,19.2,15.5,2.11
250,23.56894444,79.67247222,355,7.92,0.11,2.62,35,20.98,0.38,1,12.6,18.94,3.21
251,23.54627778,79.66880556,359.9,7.53,0.18,4.42,25,32.21,0.62,1.32,16.34,12.08,2.88
252,23.54636111,79.66883333,359.9,7.84,0.14,3.49,35,56.41,0.78,2.1,25.3,16.52,1.89
253,23.54044444,79.66858333,358.2,7.14,0.09,2.21,60,38.92,0.62,1.32,26.52,21.02,6.93
254,23.53938889,79.6685,358.2,7.62,0.11,4.42,60,34.45,0.72,1.28,20.9,14.48,1.31
255,23.54675,79.69941667,375.9,6.12,0.14,4.46,30,20.84,1.52,3.04,64.92,82.46,4.35
256,23.54844444,79.77827778,413.9,6.4,0.44,4.81,50,25.47,1.42,2.8,50.18,27.88,2.09
257,23.54572222,79.80722222,403.2,7.37,0.1,2.13,35,20.58,3.26,4.36,33.94,16.02,2.29
258,23.54413889,79.81105556,400.3,6.98,0.06,2.19,25,31.77,1.24,5.5,61.42,26.58,1.53
259,23.53069444,79.82452778,401.9,6.53,0.07,2.71,50,17.3,1.2,2.18,60.86,48.1,3.12
260,23.53080556,79.82483333,401.2,6.25,0.14,3.27,45,24.23,1.1,2,52.84,58.96,2.62
